Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
2,27,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
3,28,53,147,138,21,37,12,3,2,14,6,1,33,1,1,1,5,0,2,0.268,0.301,0.442,0.743,*4H/65
4,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
5,25,113,427,384,40,97,18,2,4,31,37,1,72,1,4,1,6,2,3,0.253,0.319,0.341,0.66,487/H3D
6,26,43,152,140,10,27,5,1,2,13,9,0,43,2,1,0,4,0,0,0.193,0.252,0.286,0.537,*5/43H
7,24,108,319,296,46,84,14,0,17,51,23,0,80,0,0,0,9,0,1,0.284,0.335,0.503,0.839,*3H
8,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
9,28,17,34,31,2,8,1,0,0,0,3,0,9,0,0,0,0,2,0,0.258,0.324,0.29,0.614,/H7D3
10,23,9,20,18,3,4,1,0,1,3,1,0,5,0,1,0,1,0,0,0.222,0.263,0.444,0.708,/*6H
11,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
12,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
13,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
14,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
15,24,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
16,24,25,82,72,10,19,4,0,2,9,6,0,21,0,2,2,2,1,0,0.264,0.313,0.403,0.715,*8/9H7D
17,24,34,113,106,9,25,4,0,1,9,6,0,19,0,0,1,2,3,1,0.236,0.274,0.302,0.576,*7/H9D
18,26,97,375,334,34,94,11,0,6,45,32,5,47,2,0,7,9,6,0,0.281,0.341,0.368,0.71,*3/H475
19,23,152,672,626,64,177,31,2,5,52,32,5,85,2,4,8,24,35,13,0.283,0.316,0.363,0.678,*4/D
20,23,17,35,30,2,9,3,0,1,6,0,0,12,0,4,1,0,0,0,0.3,0.29,0.5,0.79,*1
21,24,14,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,*1
22,26,152,614,558,70,130,22,2,36,100,48,7,186,4,0,4,16,2,0,0.233,0.296,0.473,0.77,*5/HD
23,24,146,396,368,35,87,14,4,5,32,22,1,57,2,3,1,7,4,2,0.236,0.282,0.337,0.619,*8H467/5
24,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
25,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
26,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
27,26,10,19,18,1,1,1,0,0,2,1,0,5,0,0,0,0,0,0,0.056,0.105,0.111,0.216,*2
28,29,29,85,76,5,14,4,0,0,4,7,0,27,0,2,0,3,0,0,0.184,0.253,0.237,0.49,*6/45H
29,24,156,698,620,91,168,17,4,4,67,52,1,97,4,16,6,19,42,8,0.271,0.328,0.331,0.659,*6D/H
30,33,45,136,128,13,24,7,1,7,18,8,0,60,0,0,0,1,0,1,0.188,0.235,0.422,0.657,*98/H
31,31,155,674,597,80,171,20,3,8,37,55,1,40,11,8,3,9,20,12,0.286,0.356,0.37,0.726,*9/H8
32,24,23,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
33,22,97,378,351,34,88,17,2,14,43,23,0,117,4,0,0,4,1,2,0.251,0.304,0.43,0.734,*79/DH
34,22,133,514,486,49,130,29,4,10,52,23,1,72,1,2,2,16,2,0,0.267,0.301,0.405,0.706,*5/H
35,27,138,497,474,45,92,18,0,21,55,18,0,148,3,0,2,8,0,2,0.194,0.227,0.365,0.592,*2H/D
36,28,102,236,225,17,61,9,2,1,19,4,1,33,1,4,2,4,1,0,0.271,0.284,0.342,0.627,*5H64/3
37,27,14,19,15,0,2,0,0,0,2,0,0,10,0,4,0,0,0,0,0.133,0.133,0.133,0.267,*1
38,36,32,75,59,0,4,0,0,0,0,0,0,26,0,16,0,1,0,0,0.068,0.068,0.068,0.136,*1
39,23,50,179,162,18,38,8,1,5,22,15,3,43,1,0,1,1,1,0,0.235,0.302,0.389,0.691,*5/H
40,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
41,37,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
42,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
43,26,102,379,330,39,75,14,1,11,47,44,0,112,1,1,3,10,0,0,0.227,0.317,0.376,0.693,*2/H
44,23,75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,*1
45,32,124,394,361,54,91,15,0,9,46,15,0,41,3,7,8,11,8,5,0.252,0.282,0.368,0.65,56H4/D79
46,27,30,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1,*1
47,30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
48,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
49,29,138,589,550,68,149,33,5,6,54,23,1,59,3,8,5,14,12,7,0.271,0.301,0.382,0.683,*6
50,30,63,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
51,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
52,27,32,73,58,3,9,1,0,0,1,3,0,18,1,11,0,2,0,0,0.155,0.21,0.172,0.382,*1
53,32,74,175,154,21,43,8,0,11,21,18,1,48,2,0,1,5,1,0,0.279,0.36,0.545,0.905,H37D5/49
54,32,16,46,40,0,6,0,0,0,2,6,0,12,0,0,0,4,0,0,0.15,0.261,0.15,0.411,*2/H
55,31,3,4,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,/*1
56,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
57,26,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*2
58,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
59,34,108,330,304,22,64,15,0,5,23,14,3,70,2,9,1,5,0,0,0.211,0.249,0.309,0.558,*6/H
60,27,136,445,408,46,98,17,1,8,41,21,0,127,8,6,2,5,11,11,0.24,0.289,0.346,0.635,*89H/7
61,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
62,27,141,555,501,49,104,25,1,7,41,36,5,64,6,4,6,22,4,2,0.208,0.266,0.303,0.569,*4/H
63,27,37,120,104,15,28,2,0,3,16,13,0,18,1,0,2,1,0,0,0.269,0.35,0.375,0.725,*3/H
64,25,24,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
65,27,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
66,22,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*1
67,32,118,528,452,82,117,24,0,28,73,69,2,84,3,0,4,13,7,2,0.259,0.358,0.498,0.856,*9/D53
68,28,74,155,132,14,25,6,1,0,4,17,0,28,5,0,1,1,5,2,0.189,0.303,0.25,0.553,H97
69,34,68,236,206,30,42,6,0,11,20,26,1,62,2,1,1,6,3,1,0.204,0.298,0.393,0.691,*79H/D8
70,26,5,12,8,1,1,0,0,0,0,1,0,3,0,3,0,0,0,0,0.125,0.222,0.125,0.347,/*1
71,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
72,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
73,33,8,12,8,0,1,0,0,0,0,1,0,3,0,3,0,1,0,0,0.125,0.222,0.125,0.347,/*1
74,26,103,408,371,46,99,22,1,5,24,28,2,56,4,1,4,10,5,1,0.267,0.322,0.372,0.694,*4/H6
